member_id,name,rep_type,rep_detail,building_code,floor,room
K106,"Abalos, JC M.",Party-list Representative,4Ps,SW,5,SW-508
E003,"Abante, Bienvenido Jr. M.",District Representative,"Manila, 6th District",SWA,3,SWA-316
K119,"Acidre, Jude A.",Party-list Representative,TINGOG,SW,2,SW-206
L104,"Acop, Philip Conrad ""Dok Bong"" M.",District Representative,"Antipolo City, 2nd District",SWA,4,SWA-414
G002,"Acop, Romeo M.",District Representative,"Antipolo City, 2nd District",SWA,4,SWA-414
J004,"Acosta, Gil ""KabarangayJr""",District Representative,"Palawan, 3rd District",NW,6,NW-607
K002,"Adiong, Ziaur-Rahman ""Zia"" Alonto",District Representative,"Lanao del Sur, 1st District",NW,1,NW-113
K003,"Advincula, Adrian Jay C.",District Representative,"Cavite, 3rd District",SWA,3,SWA-309
E005,"Agarao, Benjamin Jr. C.",District Representative,"Laguna, 4th District",NW,1,NW-116
L001,"Agyao, Caroline B., M.D.",District Representative,"Kalinga, Lone District",NW,5,NW-502
L002,"Alano, Ustadz Yusop T.",District Representative,"Basilan, Lone District",NW,6,NW-613
K005,"Alba, Jose Manuel F.",District Representative,"Bukidnon, 1st District",RVM,4,RVM-421
J006,"Albano, Antonio ""Tonypet"" T.",District Representative,"Isabela, 1st District",SW,2,SW-201
K006,"Almario, Cheeno Miguel D.",District Representative,"Davao Oriental, 2nd District",NW,2,NW-202
L003,"Almario, Dennis ""Alden"" B.",District Representative,"Makati City, 2nd District",NW,1,NW-119
K007,"Almonte, Jason P.",District Representative,"Misamis Occidental, 1st District",NW,4,NW-415
K008,"Alvarez, Jose C.",District Representative,"Palawan, 2nd District",RVM,,RVM-Penthouse
G006,"Alvarez, Mercedes K.",District Representative,"Negros Occidental, 6th District",SW,1,SW-110
K009,"Amante, Loreto S.",District Representative,"Laguna, 3rd District",RVM,1,RVM-109
K010,"Amatong, Adrian Michael A.",District Representative,"Zamboanga del Norte, 3rd District",NW,3,NW-314
K108,"Ang, James ""Jojo"" Jr.",Party-list Representative,USWAG ILONGGO,SWA,3,SWA-301
J009,"Angara, Rommel Rico T.",District Representative,"Aurora, Lone District",NW,3,NW-305
L004,"Angeles, Maria Cristina C.",District Representative,"Tarlac, 2nd District",SW,1,SW-119
F007,"Aquino, Jose ""Joboy"" II S.",District Representative,"Butuan, Lone District",SWA,3,SWA-312
I109,"Aquino-Magsaysay, Milagros",Party-list Representative,UNITED SENIOR CITIZENS,NW,1,NW-112
L009,"Arbison, Munir Jr. N.",Party-list Representative,KAPUSO PM,SW,3,SW-309
D004,"Arbison, Munir M.",District Representative,"Sulu, 2nd District",SW,3,SW-307
F008,"Arenas, Maria Rachel J.",District Representative,"Pangasinan, 3rd District",SWA,3,SWA-321
K011,"Arrogancia, Reynante U.",District Representative,"Quezon, 3rd District",SWA,4,SWA-426
K012,"Asistio, Dean",District Representative,"Caloocan City, 3rd District",NW,6,NW-604
K013,"Atayde, Juan Carlos ""Arjo"" C.",District Representative,"Quezon City, 1st District",SW,4,SW-403
K014,"Aumentado, Maria Vanessa ""Van-Van"" C., RN",District Representative,"Bohol, 2nd District",NW,2,NW-211
I007,"Austria-Barzaga, Jennifer",District Representative,"Cavite, 4th District",RVM,4,RVM-402
L006,"Ayon, Arlyn P.",Party-list Representative,SWERTE,SW,6,SW-610
G009,"Bag-ao, Kaka J.",District Representative,"Dinagat Islands, Lone District",SW,5,SW-518
J011,"Balindong, Yasser Alonto",District Representative,"Lanao del Sur, 2nd District",RVM,2,RVM-207
L007,"Bancoro, Marlo C.",District Representative,"Zamboanga Sibugay, 1st District",NW,1,NW-110
J012,"Barba, Angelo Marcos",District Representative,"Ilocos Norte, 2nd District",RVM,2,RVM-201
L008,"Barbers, Bernadette S.",District Representative,"Surigao del Norte, 2nd District",MB,,DDC
J013,"Baronda, Julienne ""Jam"" L.",District Representative,"Iloilo City, Lone District",SWA,3,SWA-318
L096,"Barzaga, Francisco ""Kiko"" A.",District Representative,"Cavite, 4th District",RVM,4,RVM-402
J014,"Bascug, Alfelito ""Alfel"" M.",District Representative,"Agusan del Sur, 1st District",RVM,4,RVM-427
K015,"Bautista, Claude P.",District Representative,"Davao Occidental, Lone District",NW,4,NW-406
L010,"Bautista, Johanne Monich G.",Party-list Representative,TRABAHO,NW,1,NW-117
J086,"Bautista-Lim, Claudine Diana D.",Party-list Representative,DUMPER PTDA,NW,4,NW-414
J123,"Bañas-Nograles, Shirlyn L.",District Representative,"General Santos City, Lone District",NW,5,NW-519
L011,"Beltran, Ferdinand ""B1"" L.",Party-list Representative,MAGBUBUKID,SW,1,SW-111
G015,"Benitez, Alfredo ""Albee"" B.",District Representative,"Bacolod City, Lone District",SWA,,SWA-Penthouse
L012,"Benitez, Javier Miguel Lopez",District Representative,"Negros Occidental, 3rd District",RVM,1,RVM-104
K016,"Bernos, Ching B.",Party-list Representative,SOLID NORTH PARTY,SW,1,SW-106
I098,"Bernos, JB",District Representative,"Abra, Lone District",SW,1,SW-107
E018,"Biron, Ferjenel G., M.D.",District Representative,"Iloilo, 4th District",SWA,4,SWA-423
L013,"Bocobo, Jorge Daniel S.",District Representative,"Taguig City, 2nd District",RVM,4,RVM-414
L014,"Bolilia, Amado Carlos IV A.",District Representative,"Batangas, 4th District",RVM,1,RVM-110
E019,"Bondoc, Anna York P., M.D.",District Representative,"Pampanga, 4th District",SW,4,SW-410
F095,"Briones, Nicanor M.",Party-list Representative,AGAP,RVM,4,RVM-406
G013,"Bulut-Begtang, Eleanor C.",District Representative,"Apayao, Lone District",NW,1,NW-111
K018,"Cagas, John Tracy F.",District Representative,"Davao del Sur, Lone District",SWA,4,SWA-404
L016,"Calderon, Patricia C.",District Representative,"Cebu, 7th District",SW,3,SW-305
J018,"Calixto, Antonino G.",District Representative,"Pasay City, Lone District",RVM,1,RVM-103
J019,"Caoagdan, Rudy S., DPA",District Representative,"Cotabato, 2nd District",NW,2,NW-218
J020,"Cari, Carl Nicolas C.",District Representative,"Leyte, 5th District",SW,4,SW-413
G021,"Castro, Jane T.",District Representative,"Capiz, 2nd District",RVM,4,RVM-425
L107,"Catulpos, Elmer V.",Party-list Representative,1TAHANAN,SW,3,SW-318
L017,"Cayton, Timothy Joseph E.",District Representative,"Nueva Vizcaya, Lone District",NW,6,NW-603
D012,"Celeste, Arthur F.",District Representative,"Pangasinan, 1st District",NW,4,NW-412
K142,"Cendaña, Percival ""Perci""",Party-list Representative,AKBAYAN,SW,5,SW-510
L018,"Ceniza, Leonel ""Jhong"" D.",District Representative,"Davao de Oro, 2nd District",SW,3,SW-314
L103,"Chan, Jan Franz Norbert Joselito A.",Party-list Representative,AKO BIKOL,SW,6,SW-609
L019,"Chan, Junard ""Ahong"" Q.",District Representative,"Lapu-Lapu City, Lone District",NW,5,NW-517
K020,"Chua, Joel R.",District Representative,"Manila, 3rd District",NW,5,NW-509
L020,"Chua-Tai, Katrina Reiko",District Representative,"Zamboanga City, 1st District",SW,1,SW-102
D015,"Chungalao, Solomon R.",District Representative,"Ifugao, Lone District",NW,6,NW-602
J091,"Co, Elizaldy S.",Party-list Representative,AKO BIKOL,MB,,MB-N 325
L022,"Co, Renee Louise M.",Party-list Representative,KABATAAN,SW,5,SW-513
K022,"Co-Pilar, Ma. Victoria",District Representative,"Quezon City, 6th District",NW,4,NW-402
K021,"Cojuangco, Jaime Eduardo Marc D.",District Representative,"Tarlac, 1st District",SW,3,SW-303
D017,"Cojuangco, Mark O.",District Representative,"Pangasinan, 2nd District",NW,1,NW-105
L023,"Collantes, King",District Representative,"Batangas, 3rd District",NW,3,NW-302
K023,"Corvera, Dale B.",District Representative,"Agusan del Norte, Lone District",NW,1,NW-109
L025,"Cruz, Agatha ""Agay""",District Representative,"Bulacan, 5th District",SWA,3,SWA-306
K024,"Cruz, Ricardo Jr. S.",District Representative,"Taguig City-Pateros, Lone District",RVM,4,RVM-405
L026,"Cruzado, Edwin L., M.D.",District Representative,"Cotabato, 1st District",SWA,4,SWA-417
K026,"Cua, Midy N.",District Representative,"Quirino, Lone District",NW,6,NW-612
J093,"Dagooc, Sergio C.",Party-list Representative,APEC,NW,1,NW-103
J024,"Dalog, Maximo Jr. Y.",District Representative,"Mountain Province, Lone District",SW,5,SW-516
L101,"Dayanghirang, Nelson ""JR""",District Representative,"Davao Oriental, 1st District",SW,1,SW-114
L027,"Daza, Niko Raul S.J.",District Representative,"Northern Samar, 1st District",SW,3,SW-312
K136,"De Jesus, Presley C.",Party-list Representative,PHILRECA,NW,1,NW-115
I401,"De Lima, Leila M.",Party-list Representative,ML,NW,3,NW-304
J119,"Defensor, Lorenz R.",District Representative,"Iloilo, 3rd District",NW,3,NW-306
L029,"Degamo, Janice",District Representative,"Negros Oriental, 3rd District",SW,6,SW-603
G031,"Del Mar, Rachel Marguerite B.",District Representative,"Cebu City, 1st District",RVM,4,RVM-423
J095,"Delos Santos, Alfred C.",Party-list Representative,ANG PROBINSYANO,SW,6,SW-606
L030,"Dimacuha, Beverley Rose A.",District Representative,"Batangas, 5th District",SW,4,SW-415
L031,"Dimaguila, Walfredo ""Arman"" Jr. R.",District Representative,"Biñan City, Lone District",SWA,4,SWA-407
G034,"Dimaporo, Imelda Quibranza",District Representative,"Lanao del Norte, 1st District",SW,3,SW-316
K027,"Dimaporo, Sittie Aminah Q.",District Representative,"Lanao del Norte, 2nd District",SW,3,SW-311
L032,"Diokno, Jose Manuel Tadeo ""Chel"" I.",Party-list Representative,AKBAYAN,SW,5,SW-502
K028,"Dionisio, Ernesto Jr. M.",District Representative,"Manila, 1st District",RVM,4,RVM-417
K029,"Domingo, Danilo ""Danny"" A.",District Representative,"Bulacan, 1st District",NW,3,NW-319
D024,"Domogan, Mauricio G.",District Representative,"Baguio City, Lone District",NW,1,NW-104
L033,"Duterte, Harold James T.",Party-list Representative,PPP,SW,6,SW-616
L034,"Duterte, Omar Vincent Sangkola",District Representative,"Davao City, 2nd District",SW,6,SW-614
J026,"Duterte, Paolo Z.",District Representative,"Davao City, 1st District",SWA,3,SWA-304
D027,"Dy, Faustino ""Bojie"" III G.",District Representative,"Isabela, 6th District",SW,4,SW-401
J027,"Dy, Faustino Michael Carlos III T.",District Representative,"Isabela, 5th District",NW,5,NW-511
J029,"Dy, Ian Paul L.",District Representative,"Isabela, 3rd District",NW,5,NW-503
I083,"Elago, Sarah Jane I.",Party-list Representative,GABRIELA,NW,6,NW-601
F027,"Emano, Yevgeny Vincente B.",District Representative,"Misamis Oriental, 2nd District",SW,2,SW-205
F028,"Enverga, Wilfrido Mark M.",District Representative,"Quezon, 1st District",NW,3,NW-316
H025,"Erice, Edgar R.",District Representative,"Caloocan City, 2nd District",SW,6,SW-602
K030,"Escudero, Bernadette G.",District Representative,"Sorsogon, 1st District",NW,1,NW-108
K121,"Espares, Felimon M.",Party-list Representative,COOP-NATCCO,SW,2,SW-212
E036,"Espina,  Gerardo ""Gerryboy"" Jr. J.",District Representative,"Biliran, Lone District",SWA,4,SWA-424
F088,"Estrella, Robert Raymund ""Eskimo"" M.",Party-list Representative,ABONO,NW,5,NW-504
K032,"Ferrer, Antonio A.",District Representative,"Cavite, 6th District",NW,3,NW-312
F082,"Ferrer, Jeffrey P.",District Representative,"Negros Occidental, 4th District",NW,3,NW-311
J033,"Flores, Jonathan Keith T.",District Representative,"Bukidnon, 2nd District",SW,3,SW-304
K033,"Fortes, Manuel ""Wowo"" Jr. L.",District Representative,"Sorsogon, 2nd District",SWA,4,SWA-406
J036,"Frasco, Vincent Franco ""Duke"" D.",District Representative,"Cebu, 5th District",RVM,1,RVM-108
K034,"Fresnedi, Jaime R.",District Representative,"Muntinlupa City, Lone District",SWA,4,SWA-425
J037,"Fuentebella, Arnie B.",District Representative,"Camarines Sur, 4th District",NW,2,NW-201
L035,"Galang, Gerald Cloyd Alexis V.",District Representative,"Valenzuela City, 2nd District",NW,5,NW-501
K035,"Galeos, Edsel A.",District Representative,"Cebu, 2nd District",NW,5,NW-508
G111,"Garbin, Alfredo Jr. A.",Party-list Representative,AKO BIKOL,SWA,4,SWA-416
E031,"Garcia, Albert S.",District Representative,"Bataan, 2nd District",SW,3,SW-302
K036,"Garcia, Dante S.",District Representative,"La Union, 2nd District",NW,6,NW-611
K038,"Garcia, Jose Arturo Jr. S.",District Representative,"Rizal, 3rd District",NW,4,NW-413
L036,"Garcia, Karen Hope F.",District Representative,"Cebu, 3rd District",SWA,4,SWA-427
K037,"Garcia, Maria Angela S.",District Representative,"Bataan, 3rd District",SWA,4,SWA-409
K113,"Gardiola, Edwin L.",Party-list Representative,CWS,RVM,4,RVM-420
E032,"Garin, Janette L.",District Representative,"Iloilo, 1st District",MB,,MB-S 325
L037,"Gatchalian, Kenneth T.",District Representative,"Valenzuela City, 1st District",SWA,4,SWA-408
J038,"Gato, Ciriaco Jr. B., M.D., FPSO-HNS",District Representative,"Batanes, Lone District",SW,2,SW-209
L038,"Glepa, Maria Kristina Jihan B.",Party-list Representative,ONE COOP,SW,6,SW-604
J039,"Go, Ed Christopher S.",District Representative,"Isabela, 2nd District",NW,4,NW-407
K039,"Gomez, Richard I., DPA",District Representative,"Leyte, 4th District",SWA,4,SWA-410
I032,"Gonzales, Alexandria ""Queenie""",District Representative,"Mandaluyong City, Lone District",RVM,1,RVM-112
L039,"Gonzales, Alyssa Michaela ""Mica"" M.",District Representative,"Pampanga, 3rd District",MB,,MB-N 2F
L040,"Gonzales, Christopher Sheen P.",District Representative,"Eastern Samar, Lone District",NW,2,NW-215
L041,"Gonzales, Roy M.",District Representative,"Santa Rosa City, Lone District",SW,4,SW-404
L042,"Gorriceta, Kathryn Joyce F., MD",District Representative,"Iloilo City, 2nd District",NW,2,NW-210
J042,"Guico, Ramon Jr. N.",District Representative,"Pangasinan, 5th District",MB,,MB-S 323
K117,"Guintu, Howard A.",District Representative,"Capiz, 1st District",RVM,4,RVM-415
K040,"Gullas, Rhea Mae A.",District Representative,"Cebu, 1st District",RVM,4,RVM-404
